Name,Vac,Paco,Pdco,Vdco,Pso,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,Manufacturer,Model
ABB: PVI 3.6 OUTD-S-US-Z-M (240 V) 240V [CEC 2014],240.0,3600.0,3743.249745,340.03214289999994,27.55016824,-3.74e-06,-2.27e-05,7.40E-04,0.0010199999999999999,0.2,600.0,32.0,120.0,530.0,ABB,PVI 3.6 OUTD-S-US-Z-M (240 V) 240V [CEC 2014]
ABB: PVI 3.6 OUTD-S-US-Z-M (277 V) 277V [CEC 2014],277.0,3600.0,3726.785551,395.3569841,30.21688897,-3.23e-06,-4.61e-05,5.02E-05,0.00159,0.2,600.0,32.0,120.0,530.0,ABB,PVI 3.6 OUTD-S-US-Z-M (277 V) 277V [CEC 2014]
ABB: PVI 3.6 OUTD-S-US-Z-M-A (208V) 208V [CEC 2016],208.0,3600.0,3757.45,310.0,25.5953,-5.21315e-06,-3.3356199999999996e-06,0.000859244,0.0005360019999999999,0.1,480.0,0.0075,100.0,480.0,ABB,PVI 3.6 OUTD-S-US-Z-M-A (208V) 208V [CEC 2016]
ABB: PVI 3.6 OUTD-S-US-Z-M-A (240V) 240V [CEC 2016],240.0,3600.0,3739.76,340.0,22.8147,-3.04834e-06,-1.8375999999999998e-05,0.000483035,0.00102339,0.2,480.0,0.0075,100.0,480.0,ABB,PVI 3.6 OUTD-S-US-Z-M-A (240V) 240V [CEC 2016]
ABB: PVI 3.6 OUTD-S-US-Z-M-A (277V) 277V [CEC 2016],277.0,3600.0,3724.19,395.0,29.8112,-3.7528e-06,-3.53224e-05,-0.000141316,0.000468461,0.2,480.0,0.0075,100.0,480.0,ABB,PVI 3.6 OUTD-S-US-Z-M-A (277V) 277V [CEC 2016]
ABB: PVI 3.8 OUTD-S-US-Z-M-A (208 V) 208V [CEC 2014],208.0,3300.0,3446.1941590000006,310.7930952,25.16906134,-4.58e-06,-1.01e-05,1.78E-03,0.0005809999999999999,0.1,600.0,32.0,140.0,530.0,ABB,PVI 3.8 OUTD-S-US-Z-M-A (208 V) 208V [CEC 2014]
ABB: PVI 3.8 OUTD-S-US-Z-M-A (208V) 208V [CEC 2016],208.0,3800.0,3972.82,310.0,25.7846,-4.86718e-06,-1.22625e-05,0.00104678,0.000260396,0.12,480.0,0.006875,100.0,480.0,ABB,PVI 3.8 OUTD-S-US-Z-M-A (208V) 208V [CEC 2016]
ABB: PVI 3.8 OUTD-S-US-Z-M-A (240 V) 240V [CEC 2014],240.0,3800.0,3954.972844,340.778254,27.89557503,-3.43e-06,-3.02e-05,1.04E-03,0.000341,0.2,600.0,32.0,140.0,530.0,ABB,PVI 3.8 OUTD-S-US-Z-M-A (240 V) 240V [CEC 2014]
ABB: PVI 3.8 OUTD-S-US-Z-M-A (240V) 240V [CEC 2016],240.0,3800.0,3950.15,340.0,26.9805,-3.28785e-06,-2.41866e-05,0.000674837,0.00050965,0.16,480.0,0.00791667,100.0,480.0,ABB,PVI 3.8 OUTD-S-US-Z-M-A (240V) 240V [CEC 2016]
ABB: PVI 3.8 OUTD-S-US-Z-M-A (277 V) 277V [CEC 2014],277.0,3800.0,3935.4410759999996,395.87547620000004,30.60376636,-2.63e-06,-5.01e-05,3.07E-04,0.0010400000000000001,0.2,600.0,32.0,140.0,530.0,ABB,PVI 3.8 OUTD-S-US-Z-M-A (277 V) 277V [CEC 2014]
ABB: PVI 3.8 OUTD-S-US-Z-M-A (277V) 277V [CEC 2016],277.0,3800.0,3931.93,395.0,29.7428,-2.8225599999999996e-06,-3.8211e-05,1.8531e-005,-2.19758e-05,0.22,480.0,0.00791667,100.0,480.0,ABB,PVI 3.8 OUTD-S-US-Z-M-A (277V) 277V [CEC 2016]
ABB: PVI 4.2 OUTD-S-US-Z-M-A (208 V) 208V [CEC 2014],208.0,4200.0,4397.390437,309.9863492,24.70135696,-5.1e-06,1.18e-06,1.38E-03,0.000597,0.1,600.0,32.0,140.0,530.0,ABB,PVI 4.2 OUTD-S-US-Z-M-A (208 V) 208V [CEC 2014]
ABB: PVI 4.2 OUTD-S-US-Z-M-A (208V) 208V [CEC 2016],208.0,4200.0,4393.08,310.0,24.6481,-4.83328e-06,-2.92541e-06,0.000630468,0.000205794,0.1,480.0,0.00875,100.0,480.0,ABB,PVI 4.2 OUTD-S-US-Z-M-A (208V) 208V [CEC 2016]
ABB: PVI 4.2 OUTD-S-US-Z-M-A (240 V) 240V [CEC 2014],240.0,4200.0,4376.31761,340.0693651,28.36440731,-4.21e-06,-2.8100000000000002e-05,2.75E-04,-0.000379,0.2,600.0,32.0,140.0,530.0,ABB,PVI 4.2 OUTD-S-US-Z-M-A (240 V) 240V [CEC 2014]
ABB: PVI 4.2 OUTD-S-US-Z-M-A (240V) 240V [CEC 2016],240.0,4200.0,4369.96,340.0,27.7345,-4.05955e-06,-2.39711e-05,-6.33647e-005,-0.000597573,0.2,480.0,0.00875,100.0,480.0,ABB,PVI 4.2 OUTD-S-US-Z-M-A (240V) 240V [CEC 2016]
ABB: PVI 4.2 OUTD-S-US-Z-M-A (277 V) 277V [CEC 2014],277.0,4200.0,4350.9745920000005,395.39968250000004,30.18019265,-3.21e-06,-4.7600000000000005e-05,-3.09E-04,0.000278,0.2,600.0,32.0,140.0,530.0,ABB,PVI 4.2 OUTD-S-US-Z-M-A (277 V) 277V [CEC 2014]
ABB: PVI 4.2 OUTD-S-US-Z-M-A (277V) 277V [CEC 2016],277.0,4200.0,4347.12,395.0,29.0729,-3.3483099999999996e-06,-3.38494e-05,-0.000282944,0.000288564,0.2,480.0,0.00875,100.0,480.0,ABB,PVI 4.2 OUTD-S-US-Z-M-A (277V) 277V [CEC 2016]
